repositoryUrl,status,ecosystem,registry_url,dependent_packages_count,dependent_repos_count,docker_dependents_count,docker_downloads_count,downloads,downloads_period,last_synced_at
https://github.com/node-fetch/node-fetch,OK,npm,https://www.npmjs.com/package/@blackglory/node-fetch,2,21,null,null,60,last-month,2023-10-01T18:55:41.945Z
https://github.com/node-opcua/node-opcua,OK,npm,https://www.npmjs.com/package/node-opcua,65,202,18,457,38664,last-month,2023-10-02T05:40:49.83Z
https://github.com/nodeca/js-yaml,OK,npm,https://www.npmjs.com/package/js-yaml,18486,1075506,23141,7113435842,310701219,last-month,2023-10-01T19:01:21.808Z
https://github.com/nodevault/node-vault,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nolimits4web/swiper,OK,npm,https://www.npmjs.com/package/swiper,2365,63933,227,1367461,7710346,last-month,2023-10-02T07:45:37.696Z
https://github.com/nomacs/nomacs,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nonebot/nonebot2,OK,pypi,https://pypi.org/project/nonebot2/,273,453,13,77,12192,last-month,2023-10-02T03:49:44.777Z
https://github.com/nonunicorn/nonunicorn,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/noppefoxwolf/Kitsunebi,OK,cocoapods,https://cocoapods.org/pods/Kitsunebi,0,1,null,null,null,null,2023-10-02T10:30:25.884Z
https://github.com/norihiro/obs-face-tracker,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nova-video-player/aos-AVP,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/novalagung/dasarpemrogramangolang,OK,go,https://pkg.go.dev/github.com/novalagung/dasarpemrogramangolang,0,0,null,null,null,null,2023-10-02T10:17:07.116Z
https://github.com/noxworld-dev/opennox,OK,go,https://pkg.go.dev/github.com/noxworld-dev/opennox,0,0,null,null,null,null,2023-10-02T11:15:39.342Z
https://github.com/npms-io/npms-analyzer,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nrepl/nrepl,OK,clojars,https://clojars.org/nrepl/,193,203,null,null,17609404,total,2023-10-02T10:01:56.043Z
https://github.com/nsfw-filter/nsfw-filter,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/NTMC-Community/MatchZoo,OK,pypi,https://pypi.org/project/matchzoo/,0,3,null,null,105,last-month,2023-10-02T09:39:48.662Z
https://github.com/nuke-build/nuke,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/numldesign/nextjs-numl-template,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nusmodifications/nusmods,OK,npm,https://www.npmjs.com/package/nusmoderator,1,7,null,null,29,last-month,2023-10-02T09:37:37.815Z
https://github.com/nuxodin/ie11CustomProperties,OK,npm,https://www.npmjs.com/package/ie11-custom-properties,12,26,null,null,19981,last-month,2023-10-02T10:34:40.198Z
https://github.com/nuxsmin/sysPass,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nvh95/jest-preview,OK,npm,https://www.npmjs.com/package/jest-preview,18,170,2,6,341670,last-month,2023-10-01T22:42:17.32Z
https://github.com/nvim-treesitter/nvim-treesitter,OK,alpine,https://pkgs.alpinelinux.org/package/edge/testing/x86_64/nvim-treesitter-doc,0,0,null,null,null,null,2023-10-02T10:46:38.005Z
https://github.com/nvimdev/lspsaga.nvim,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nVuln/homebridge-lg-thinq,OK,npm,https://www.npmjs.com/package/homebridge-lg-thinq,3,1,null,null,2393,last-month,2023-10-02T11:12:24.77Z
https://github.com/nwtime/linuxptp,No lookups,null,null,null,null,null,null,null,null,null
https://github.com/nzbin/magnify,OK,npm,https://www.npmjs.com/package/jquery.magnify,1,8,null,null,224,last-month,2023-10-02T10:15:04.661Z
https://github.com/nzbin/photoviewer,OK,npm,https://www.npmjs.com/package/photoviewer,9,87,null,null,57100,last-month,2023-10-02T10:11:40.918Z
