Id,Slug,Type,Name,OpenCollective,Twitter,CodeRepository,GitHubUser,GithubRepository,GitHubStatus,LocationCountry,IsFrozen,IsActive,CreatedAt,UpdatedAt,Budget,Currency
03k0exgz-nm8yj64o-jmp5wao9-r7b4dlvr,erxes,COLLECTIVE,erxes Inc,https://opencollective.com/erxes,https://twitter.com/ErxesHQ,https://github.com/Erxes/Erxes,https://github.com/Erxes,https://github.com/erxes/erxes,Repo found,United States,false,true,2017-12-27T02:18:18.655Z,2022-08-11T09:27:15.826Z,780,USD
k3z8arxv-eymko60m-7aqgl5nb-j9w704dv,autospotting,COLLECTIVE,autospotting,https://opencollective.com/autospotting,,https://github.com/AutoSpotting/AutoSpotting,https://github.com/AutoSpotting,https://github.com/LeanerCloud/AutoSpotting,Repo found,,false,true,2017-12-27T12:47:35.255Z,2020-03-28T05:10:51.083Z,29.49,USD
5ax8emk7-lnw54q77-aoqgyvj0-o93zdrbn,rollup,COLLECTIVE,Rollup,https://opencollective.com/rollup,https://twitter.com/rollupjs,https://github.com/rollup/rollup,https://github.com/rollup,https://github.com/rollup/rollup,Repo found,,false,true,2018-01-08T14:29:31.489Z,2021-05-03T08:49:12.343Z,10001.08,USD
eeng0kzd-yvor4pzd-r0qbma83-7xlw95jl,bootstrap-table,COLLECTIVE,bootstrap-table,https://opencollective.com/bootstrap-table,https://twitter.com/wenzhixin2010,https://github.com/wenzhixin/bootstrap-table,https://github.com/wenzhixin,https://github.com/wenzhixin/bootstrap-table,Repo found,China,false,true,2018-01-08T16:25:46.430Z,2023-08-01T09:08:51.748Z,12814.9,USD
dgm9bnk8-0437xqrm-aepvzeol-jdayw5re,altair,COLLECTIVE,Altair GraphQL Client,https://opencollective.com/altair,https://twitter.com/AltairGraphQL,https://github.com/altair-graphql/altair,https://github.com/altair-graphql,https://github.com/altair-graphql/altair,Repo found,Nigeria,false,true,2018-01-11T12:51:46.207Z,2023-02-07T17:17:43.602Z,3679.08,USD
03k0exgz-nm8yj64j-9765wao9-r7b4dlvr,azuracast,COLLECTIVE,AzuraCast,https://opencollective.com/azuracast,https://twitter.com/AzuraCast,https://github.com/AzuraCast,https://github.com/AzuraCast,,Has no repo URL,United States,false,true,2018-01-14T08:47:47.508Z,2021-12-14T13:30:03.616Z,3767.17,USD
re0adkjr-v8xwm69z-zbp7z5n4-l93bgoyx,styleguidist,COLLECTIVE,React Styleguidist,https://opencollective.com/styleguidist,https://twitter.com/iamsapegin,https://github.com/styleguidist,https://github.com/styleguidist,,Has no repo URL,,false,true,2018-01-17T16:58:20.136Z,2020-10-22T11:09:32.167Z,215.85,USD
ov349mrw-gz75lpye-456a08dj-eybknoxd,goreleaser,COLLECTIVE,goreleaser,https://opencollective.com/goreleaser,https://twitter.com/GoReleaser,https://github.com/goreleaser,https://github.com/goreleaser,,Has no repo URL,,false,true,2018-01-18T19:01:24.893Z,2021-10-27T01:34:11.830Z,2381.04,USD
zzaxon79-3jy8gplj-336brkde-mwl5v04o,level,COLLECTIVE,Level,https://opencollective.com/level,,https://github.com/Level,https://github.com/Level,,Has no repo URL,,false,true,2018-01-20T10:02:14.141Z,2022-09-03T09:53:40.907Z,58.55,USD
zzaxon79-3jy8gplj-rr6brkde-mwl5v04o,docsify,COLLECTIVE,docsify,https://opencollective.com/docsify,https://twitter.com/cinwell_li,https://github.com/docsifyjs,https://github.com/docsifyjs,,Has no repo URL,,false,true,2018-01-23T15:04:42.002Z,2023-03-17T09:45:43.107Z,530.26,USD
lk9mbw7y-48r3zq3z-ao60ej5l-avnodgx7,secure-scuttlebutt-consortium,COLLECTIVE,Secure Scuttlebutt Consortium,https://opencollective.com/secure-scuttlebutt-consortium,,https://github.com/sbc,https://github.com/sbc,,Has no repo URL,,false,true,2018-01-26T03:26:11.903Z,2023-01-20T09:45:16.366Z,2903.28,USD
